scientific_name,retrieval_rank,paper_id,title,screening_status
Nephila clavipes,11,pmcid:PMC4323732,Solving a novel confinement problem by spartaeine salticids that are predisposed to solve problems in the context of predation.,pending
Nephila clavipes,12,pmid:18654806,Constructive and deconstructive tool modification by chimpanzees (Pan troglodytes).,pending
Nephila clavipes,13,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending
Nephila clavipes,14,pmid:27639446,Social manipulation in nonhuman primates: Cognitive and motivational determinants.,pending
Nephila clavipes,15,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending
Nephila clavipes,16,pmcid:PMC10703848,Long-term memory of experienced jays facilitates problem-solving by naïve group members in the wild.,pending
Nephila clavipes,17,pmid:17624451,"Communal nesting, an early social enrichment, affects social competences but not learning and memory abilities at adulthood.",pending
Nephila clavipes,18,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending
Nephila clavipes,19,pmid:17205290,Social learning and innovation are positively correlated in pigeons (Columba livia).,pending
Nephila clavipes,20,pmid:28311674,"Previous experience and site tenacity in the orb spider Nephila (Araneae, Araneidae).",pending
Nephila clavipes,21,pmid:15714883,[Maternal inheritance in a subsocial spider: web for collective prey capturing of the young].,pending
Nephila clavipes,22,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Nephila clavipes,23,pmcid:PMC11111793,Heuristic test reveals little effect of learning and maturation on early prey capture experiences in a web-building spider.,pending
Nephila clavipes,24,pmcid:PMC10567780,"Widow spiders alter web architecture and attractiveness in response to same-sex competition for prey and mates, and predation risk.",pending
Nephila clavipes,25,pmid:24406509,Association and reversal learning abilities in a jumping spider.,pending
Paraponera clavata,1,pmid:16816091,"Dimensions of cognition in an insect, the honeybee.",pending
Paraponera clavata,2,doi:10.1101/2022.07.03.498617,Characterization of an ant colony (Paraponera clavata) during rest and relocation phases: an experimentally induced protocol,pending
Paraponera clavata,3,pmcid:PMC6578179,Learning and memory in the honeybee.,pending
Paraponera clavata,4,pmid:42169389,Creative problem solving in a jumping spider.,pending
Paraponera clavata,5,pmid:38713323,"Low Intraspecific Aggression Level, Cuticular Hydrocarbons, and Polydomy in the Bullet Ant.",pending
Paraponera clavata,6,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending
Paraponera clavata,7,pmid:815017,"[L'""apprentissage social"" chez le termite de santonge].",pending
Paraponera clavata,8,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Paraponera clavata,9,pmid:16527728,Ants.,pending
Paraponera clavata,10,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Paraponera clavata,11,pmid:8673461,Neuroanatomy: mushrooming mushroom bodies.,pending
Paraponera clavata,12,pmcid:PMC5570381,"The interplay between maze complexity, colony size, learning and memory in ants while solving a maze: A test at the colony level.",pending
Paraponera clavata,13,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
Paraponera clavata,14,pmid:24896019,Cognitive approach of spatial and temporal information processing in insects.,pending
Paraponera clavata,15,pmid:35570086,Social cognition in insects.,pending
Paraponera clavata,16,pmid:18840365,Cognitive and psychomotor effects of risperidone in schizophrenia and schizoaffective disorder.,pending
Paraponera clavata,17,doi:10.1101/2023.03.09.531867,Neurons from pre-motor areas to the Mushroom bodies can orchestrate latent visual learning in navigating insects.,pending
Paraponera clavata,18,pmid:16458018,"Studying primate learning in group contexts: Tests of social foraging, response to novelty, and cooperative problem solving.",pending
Paraponera clavata,19,pmid:21849606,Distributed representation of social odors indicates parallel processing in the antennal lobe of ants.,pending
Paraponera clavata,20,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending
Paraponera clavata,21,pmid:38128351,Inference of social cognition in schizophrenia patients with neurocognitive domains and neurocognitive tests using automated machine learning.,pending
Paraponera clavata,22,pmid:20522313,Learning in a sedentary insect predator: antlions (Neuroptera: Myrmeleontidae) anticipate a long wait.,pending
Paraponera clavata,23,pmid:19467202,Colony-level cognition.,pending
Paraponera clavata,24,pmcid:PMC12534598,Primary and secondary caregiver burden of cognitive impairment associated with schizophrenia: a qualitative study based on caregiver interviews.,pending
Paraponera clavata,25,pmcid:PMC2176157,Reconnaissance and latent learning in ants.,pending
Periplaneta americana,1,pmid:14668320,Antennal movements reveal associative learning in the American cockroach Periplaneta americana.,pending
Periplaneta americana,2,pmid:16458018,"Studying primate learning in group contexts: Tests of social foraging, response to novelty, and cooperative problem solving.",pending
