scientific_name,pool_role,current_panel,acdb,asnr,source_feasibility,biological_proxy_blocks,geometry_dimensions,body_mass_g_best,max_longevity_yrs,female_maturity_days,at_brain_kg,relative_brain_resid_class,at_metabolic_w,metabolic_rate_w_anage,diet_entropy,animal_diet_fraction,social_group_size,population_group_size,population_density_km2,network_nodes,network_density,network_clustering,network_qrel,asnr_network_count,G_life_history_proxy,H_neural_energy_proxy,I_ecology_proxy,J_demography_proxy,F_network_proxy
Lagenorhynchus albirostris,database_unrepresented_family_mass_calibration,no,no,no,2,2,3,180000.0,,,,,,,0.9709505944546688,1.0,,300.0,,,,,,,0,0,1,1,0
Larus occidentalis,acdb_source_candidate,no,yes,no,4,3,5,922.78,33.9,1825.0,,,,3.43629,0.9854752972273345,1.0,,,,,,,,,1,1,1,0,0
Larus thayeri,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,942.48,,,,,,,0.9911594714322187,1.0,,,,,,,,,0,0,1,0,0
Laupala cerasina,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,36.0,0.141,0.0,0.474,1,0,0,0,0,1
Lemur catta,asnr_source_candidate,no,no,yes,6,5,11,2900.0,37.3,595.0,0.02163,-0.09296558458170257,,,0.7219280948873623,0.0,16.45,15.0,215.0,9.0,0.1805,0.0,0.478,2,1,1,1,1,1
Leontopithecus rosalia,current_deep_panel,yes,no,no,4,4,8,535.5,31.6,547.0,0.01305,0.14048970025021634,,,1.0,0.5,4.5,,4.07,,,,,,1,1,1,1,0
Leptonychotes weddellii,database_unrepresented_family_mass_calibration,no,no,no,4,4,5,400000.0,,1365.0,0.58625,,,,0.9709505944546688,1.0,,,0.12,,,,,,1,1,1,1,0
Lophostoma silvicolum,database_unrepresented_family_mass_calibration,no,no,no,2,2,3,32.29,,,,,,,0.46899559358928117,0.9,,12.0,,,,,,,0,0,1,1,0
Loxigilla noctis,acdb_source_candidate,no,yes,no,2,1,3,16.63,,,,,,,0.9232196723355077,0.4,,,,,,,,,0,0,1,0,0
Loxodonta africana,current_deep_panel,yes,yes,no,4,3,7,3940034.28,65.0,4018.0,,,,,0.0,0.0,19.5,,6.72,,,,,,1,0,1,1,0
Loxodonta cyclotis,database_unrepresented_family_mass_calibration,no,no,no,2,2,4,4750000.01,,,,,,,0.46899559358928117,0.0,3.4,,,,,,,,0,0,1,1,0
Lycaon pictus,theory_discriminating_candidate,no,no,no,4,4,6,22050.07,17.0,639.0,,,,33.01,0.0,1.0,,,0.01,,,,,,1,1,1,1,0
Macaca arctoides,asnr_source_candidate,no,no,yes,5,4,9,5000.0,29.2,1186.0,0.1007,0.1877348922032196,,,0.9232196723355078,0.1,,,,13.5,0.744,0.7969999999999999,0.084,2,1,1,1,0,1
Macaca assamensis,asnr_source_candidate,no,no,yes,6,5,9,12000.0,31.4,,0.0905,0.3614668379745467,,,0.9232196723355078,0.1,21.0,,,15.0,0.868,0.9045,0.132,2,1,1,1,1,1
Macaca fascicularis,asnr_source_candidate,no,no,yes,6,5,11,3991.5,39.0,1238.0,0.067,0.3733448259533034,,,0.8586727110732548,0.5,27.0,23.6,49.99,9.0,0.857,0.914,0.46,3,1,1,1,1,1
Macaca fuscata,current_deep_panel,yes,yes,yes,6,4,10,10400.0,38.5,1483.0,,,,,0.9232196723355078,0.1,40.65,,30.19,20.5,0.617,0.667,0.198,8,1,0,1,1,1
Macaca mulatta,asnr_source_candidate,no,no,yes,6,5,11,3713.0,40.0,1231.0,0.08795,0.25266346950107055,,,0.9232196723355078,0.1,38.5,48.9,11.1,78.0,0.464,0.558,0.234,13,1,1,1,1,1
Macaca radiata,asnr_source_candidate,no,no,yes,5,4,10,3690.0,30.0,1295.0,,,,,0.9232196723355078,0.1,33.5,41.0,8.3,12.5,0.8295,0.8440000000000001,0.195,2,1,0,1,1,1
Macaca sylvanus,asnr_source_candidate,no,no,yes,6,5,10,7000.03,30.0,1399.0,0.0877,,,,0.9232196723355078,0.1,18.3,18.3,12.5,6.0,0.667,0.667,0.165,13,1,1,1,1,1
Macaca tonkeana,asnr_source_candidate,no,no,yes,5,4,8,9000.0,28.4,,,,,,0.9232196723355078,0.1,,,10.0,13.0,0.619,0.62,0.14850000000000002,3,1,0,1,1,1
Macropus antilopinus,database_unrepresented_family_mass_calibration,no,no,no,4,4,7,27250.0,19.8,802.0,0.0588448,-0.4675986260456817,,,0.0,0.0,,,21.21,,,,,,1,1,1,1,0
Macropus giganteus,asnr_source_candidate,no,no,yes,6,5,10,25875.0,25.0,639.0,0.0723128,-0.4438273642580792,,,0.0,0.0,,76.9,41.95,17.0,0.669,0.822,0.1,1,1,1,1,1,1
Mandrillus sphinx,asnr_source_candidate,no,no,yes,6,5,11,18249.88,40.0,1186.0,0.1592,0.26395238957955935,,,0.881353453268883,0.2,13.9,30.0,21.4,7.0,0.533,0.583,0.17,9,1,1,1,1,1
Megaptera novaeangliae,current_deep_panel,yes,yes,no,4,3,6,30000000.0,95.0,1643.0,,,,,0.7219280948873623,1.0,2.0,,,,,,,,1,0,1,1,0
