Timepoint,Environment,PCD,Species,Statistics,Sex,Reference
Female Sexual maturity is reached (sex selective),Captive client,425,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,357.5,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,402.5,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),,369,Felis,2,Female,"https://figshare.com/articles/dataset/Full_Archive/3563457?backTo=/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127; Myhrvold, N. P., Baldridge, E., Chan, B., Sivam, D., Freeman, D. L., & Ernest, S. M. (2015). An amniote life‐history database to perform comparative analyses with birds, mammals, and reptiles: Ecological Archives E096‐269. Ecology, 96(11), 3109-3109."
Female Sexual maturity is reached (sex selective),Captive client,428,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,353,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,344,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,341,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,344,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,437,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,425,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,365,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,320,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,335,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,320,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,395,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,245,Felis,1,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,185,Felis,1,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,185,Felis,1,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,185,Felis,1,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,215,Felis,1,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,335,Felis,1,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,695,Felis,3,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,545,Felis,3,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,665,Felis,3,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,635,Felis,3,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,485,Felis,3,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,605,Felis,3,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,470,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,425,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
